,#genre#

📺央视频道,#genre#
湖南卫视,http://39.135.133.173/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视,http://39.134.67.155/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视,http://39.134.65.133/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视,http://39.134.65.196/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视,http://139.196.151.191/rtp/239.45.3.228:5140
北京卫视,http://39.134.65.175/PLTV/88888888/224/3221225678/1.m3u8
北京卫视,http://39.134.65.196/PLTV/88888888/224/3221225678/1.m3u8
北京卫视,http://39.135.133.172/PLTV/88888888/224/3221225678/1.m3u8
北京卫视,http://39.134.66.108/PLTV/88888888/224/3221225678/1.m3u8
北京卫视,http://39.134.67.155/PLTV/88888888/224/3221225678/1.m3u8
北京卫视,http://39.134.65.133/PLTV/88888888/224/3221225678/1.m3u8
北京卫视,http://39.135.133.173/PLTV/88888888/224/3221225678/1.m3u8
北京卫视,http://139.196.151.191/rtp/239.45.3.229:5140
湖北卫视,http://39.134.65.175/PLTV/88888888/224/3221225975/1.m3u8
湖北卫视,http://39.135.133.173/PLTV/88888888/224/3221225975/1.m3u8
湖北卫视,http://39.134.67.155/PLTV/88888888/224/3221225975/1.m3u8
湖北卫视,http://39.135.133.172/PLTV/88888888/224/3221225975/1.m3u8
湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8
湖北卫视,http://139.196.151.191/rtp/239.45.3.239:5140
黑龙江卫视,http://39.134.67.155/PLTV/88888888/224/3221225985/1.m3u8
黑龙江卫视,http://39.135.133.173/PLTV/88888888/224/3221225985/1.m3u8
黑龙江卫视,http://39.135.133.172/PLTV/88888888/224/3221225985/1.m3u8
黑龙江卫视,http://39.134.65.175/PLTV/88888888/224/3221225985/1.m3u8
黑龙江卫视,http://39.134.65.196/PLTV/88888888/224/3221225985/1.m3u8
黑龙江卫视,http://139.196.151.191/rtp/239.45.3.232:5140
安徽卫视,http://39.134.67.155/PLTV/88888888/224/3221225925/1.m3u8
安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8
安徽卫视,http://139.196.151.191/rtp/239.45.1.120:5140
重庆卫视,http://39.134.67.179/PLTV/88888888/224/3221225963/1.m3u8
重庆卫视,http://39.134.67.155/PLTV/88888888/224/3221225963/1.m3u8
重庆卫视,http://39.134.65.175/PLTV/88888888/224/3221225963/1.m3u8
重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8
重庆卫视,http://139.196.151.191/rtp/239.45.1.84:5140
东方卫视,http://39.134.65.175/PLTV/88888888/224/3221225672/1.m3u8
东方卫视,http://39.134.66.108/PLTV/88888888/224/3221225672/1.m3u8
东方卫视,http://39.134.67.155/PLTV/88888888/224/3221225672/1.m3u8
东方卫视,http://39.134.65.133/PLTV/88888888/224/3221225672/1.m3u8
东方卫视,http://39.134.65.196/PLTV/88888888/224/3221225672/1.m3u8
东方卫视,http://139.196.151.191/rtp/239.45.3.146:5140
东南卫视,http://39.134.65.196/PLTV/88888888/224/3221225950/1.m3u8
东南卫视,http://39.134.65.133/PLTV/88888888/224/3221225950/1.m3u8
东南卫视,http://39.134.67.155/PLTV/88888888/224/3221225950/1.m3u8
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8
东南卫视,http://139.196.151.191/rtp/239.45.1.121:5140
甘肃卫视,http://139.196.151.191/rtp/239.45.1.234:5140
广西卫视,http://139.196.151.191/rtp/239.45.0.5:5140
贵州卫视,http://39.134.65.175/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://39.134.67.179/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://39.135.133.173/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://39.135.133.172/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://139.196.151.191/rtp/239.45.1.80:5140
海南卫视,http://39.134.65.175/PLTV/88888888/224/3221225978/1.m3u8
海南卫视,http://39.134.67.155/PLTV/88888888/224/3221225978/1.m3u8
海南卫视,http://139.196.151.191/rtp/239.45.1.81:5140
河北卫视,http://39.134.65.175/PLTV/88888888/224/3221225961/1.m3u8
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8
河北卫视,http://39.134.67.155/PLTV/88888888/224/3221225961/1.m3u8
河北卫视,http://139.196.151.191/rtp/239.45.1.44:5140
河南卫视,http://39.134.65.175/PLTV/88888888/224/3221225988/1.m3u8
河南卫视,http://39.134.65.133/PLTV/88888888/224/3221225988/1.m3u8
河南卫视,http://139.196.151.191/rtp/239.45.0.3:5140
吉林卫视,http://39.135.133.172/PLTV/88888888/224/3221225981/1.m3u8
吉林卫视,http://39.135.133.173/PLTV/88888888/224/3221225981/1.m3u8
吉林卫视,http://39.134.65.175/PLTV/88888888/224/3221225981/1.m3u8
吉林卫视,http://139.196.151.191/rtp/239.45.0.6:5140
江苏卫视,http://39.134.65.175/PLTV/88888888/224/3221225503/1.m3u8
